NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Kenny,Nguyen,KeNNy,us,11708,2342,7068.57,6
David,Jeong,DJ LAMBO,us,57731,11349,140.00,1
Adam,Krauthaker,Bodydrop,ca,10615,337,8349.53,8
Kevin,Duong,Hirishin,us,50145,9807,240.00,2
Alex,Dubois,Ghoztzero,us,43594,8428,380.00,4
Edmund,Hom,EHomda,us,47795,9228,280.00,3
Brandon,Hum,xxPhaxen,us,51420,10000,220.00,3
Duke,Pham,ArcZSlash,us,54462,10688,180.00,2
Micah,Landon,TofuShift,us,57732,11350,140.00,1
Soberanis,Blake,xShepherd,us,57733,11351,140.00,1
Per,Lindgren,cruZ,se,44101,1422,364.21,1
Alexander,Kohanovskiy,ZeroGravity,ua,27611,262,1261.90,14
-,-,ysha,ua,0,0,0.00,0
Piotr,Stańko,pitrek,pl,21666,386,2178.56,3
Marek,Radecki,miRRi,pl,54625,1044,178.56,2
Miroslav,Kolínský,Tasso,cz,39341,250,500.00,1
Tomáš,Pechman,EFRON,cz,38595,240,539.21,2
Tamás,Goda,DoZeR,hu,52599,193,200.00,1
Kristóf,Goda,kicsi,hu,52605,194,200.00,1
-,-,SZABOLCS,hu,52611,195,200.00,1
Balázs,Tóth,sh0kk,hu,52616,196,200.00,1
-,-,Twineee,hu,52619,197,200.00,1
Geoffrey,van der Spek,HTOMario,be,76195,489,25.00,1
David,Blowe,avilo,us,54835,10760,175.00,3
Robin,Röpke,ScrunK,de,3832,151,35382.32,52
Franz Otto,Geiger,oddo,de,11757,476,7027.09,27
Süleyman,Heiden,suelo,de,32793,1472,843.12,8
Stefan,Wohlauf,H1T,at,38540,217,541.84,4
Ammar,Cakmak,am0,tr,20068,191,2521.13,18
Lucas,Simon-Meslet,Cabochard,fr,2843,100,50658.30,14
-,-,Uostykdesra,lt,71440,213,44.54,1
Andreas,Kverneland,Kverni,no,47134,544,298.29,1
Ulrik,Berntsen,Ullabulla,no,44356,496,354.76,2
-,-,madman,no,68238,778,59.66,1
-,-,Unicus,no,68239,779,59.66,1
Øystein,?,Allazius,no,71402,809,44.74,1
Kristoffer,Bjoernsen,Sandy,no,71404,810,44.74,1
-,-,ljack,no,55869,659,161.16,1
-,-,PizzaDLux,no,55870,660,161.16,1
-,-,dud,no,55871,661,161.16,1
-,-,ellak,no,55872,662,161.16,1
Maria,Creveling,Remilia,us,12085,2410,6746.67,7
Billy,Yu,Billyboss,us,26310,5112,1439.09,3
Tyler,Orr,ecko,us,74716,15283,30.00,1
Jacky,Lau,rySt,sg,27472,206,1283.59,3
Zhou,Jia,JOKE BOT,sg,16886,101,3612.80,7
Stian,Solheim,eVERLAST,no,29636,306,1061.64,1
-,-,chi,no,29637,307,1061.64,1
-,-,stifler,no,18300,162,3077.88,4
-,-,almas,no,24542,224,1658.22,2
